text	target	entity
В 1992 году, в июле, я открывал счет. Там указана моя дата рождения.	[]	[]
Срок действия карты истекает в 2025 году. Мой паспорт у вас есть.	[]	[]
В 2018 году я брал ипотеку. Номер телефона не менялся.	[]	[]
Я потерял водительское удостоверение. Это было 15 мая 2022 года.	[]	[]
Моя дата рождения уже есть в анкете, а в 2021 году я только менял номер телефона.	[]	[]
В 2007 году я впервые оформил вклад, дата рождения в системе не менялась.	[]	[]
Когда я родился, родители жили в Туле, а в 2019 году я открыл карту.	[]	[]
В июне 2015 года я пришел в банк впервые. Дата рождения уже была в анкете.	[]	[]
Год рождения у вас указан верно, а 14 марта 2020 года я только перевыпускал карту.	[]	[]
После рождения ребенка в 2022 году я оформил дополнительную карту.	[]	[]
Я менял паспорт в 2021 году, а дата рождения в профиле осталась прежней.	[]	[]
В 2016 году у меня изменился адрес регистрации, но не дата рождения.	[]	[]
Укажите, пожалуйста, дату рождения из анкеты, а не дату 03.04.2021 из заявления.	[]	[]
Мой год рождения у вас указан, а 2020 год относится к дате открытия счета.	[]	[]
В 1999 году семья переехала, но дата рождения в банке указана корректно.	[]	[]
Я родился давно, а 12 декабря 2023 года просто подал заявление на кредит.	[]	[]
Проверьте дату рождения в профиле. Дата 2024 года относится к перевыпуску карты.	[]	[]
В мае 2018 года я восстановил доступ к личному кабинету, а дату рождения не менял.	[]	[]
Дата рождения в системе верная, а 07.09.2022 — это дата последнего обращения.	[]	[]
Я обновлял анкету в 2023 году после свадьбы. Год рождения менять не нужно.	[]	[]
После рождения сына я открыл детский счет в 2021 году.	[]	[]
В 2014 году был первый кредит, а дата рождения хранится отдельно.	[]	[]
Год 2017 в выписке относится к договору, а не к моей дате рождения.	[]	[]
Я указал дату рождения ранее, а 10 октября 2020 года обращался в офис.	[]	[]
В 2022 году мне выдали новую карту, дата рождения при этом не менялась.	[]	[]
В анкете есть дата рождения, а июль 2019 года — это месяц открытия вклада.	[]	[]
Мой год рождения не менялся, а в 2008 году я впервые стал клиентом банка.	[]	[]
После смены фамилии в 2021 году дата рождения осталась прежней.	[]	[]
Я просил обновить контактные данные, а дата 11.11.2022 относится к заявке.	[]	[]
В 2013 году я оформил ипотеку, а год рождения указан в паспорте.	[]	[]
Дата рождения есть в профиле, а 2025 год — это срок действия карты.	[]	[]
Рождение ребенка мы оформляли в 2020 году, к моей дате рождения это не относится.	[]	[]
В 2011 году открыл расчетный счет как ИП, дата рождения уже была в базе.	[]	[]
Я не помню, когда приносил паспорт, кажется, это было 18 июня 2021 года.	[]	[]
Год рождения у меня один, а 2018 год касается выпуска первой карты.	[]	[]
Дата рождения подтверждена, а 05.06.2020 — это дата обновления анкеты.	[]	[]
В сентябре 2024 года я закрывал вклад, а не менял дату рождения.	[]	[]
Сведения о дате рождения не трогали, менялся только номер телефона в 2022 году.	[]	[]
В 2005 году я получал первую зарплатную карту, дата рождения была внесена позже.	[]	[]
После рождения дочери я добавил ее в страховку в 2023 году.	[]	[]
Я приносил новый паспорт 21 апреля 2022 года, но дата рождения осталась прежней.	[]	[]
В 2019 году обновился тариф по карте, а дата рождения в анкете не менялась.	[]	[]
Если дата рождения не проходит проверку, это не связано с 2021 годом открытия счета.	[]	[]
В 2010 году я подключил интернет-банк, а дату рождения подтверждал отдельно.	[]	[]
Мой год рождения указан верно, а 2022 относится к смене адреса.	[]	[]
Я изменил фамилию в 2017 году, но дата рождения осталась без изменений.	[]	[]
